Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_tr
,14,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,"Allah onların kalpleri, kulakları üzerine mühür basmıştır. Onların kafa gözleri üstünde de bir perde vardır. Onlar için korkunç bir azap öngörülmüştür."
,14,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"İnsanlar içinden bazıları vardır, ""Allah'a ve âhiret gününe inandık!"" derler ama onlar inanmış değillerdir."
,14,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Allah'ı ve inanmış olanları aldatma yoluna giderler. Gerçekte ise onlar öz benliklerinden başkasını aldatmıyorlar. Ne var ki, bunun farkında olamıyorlar."
,14,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Kalplerinde bir hastalık vardır da Allah onları hastalık yönünden daha ileri götürmüştür. Ve onlar için, yalancılık etmiş olmaları yüzünden acıklı bir azap öngörülmüştür."
,14,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,"Onlara, ""Yeryüzünde bozgun çıkarmayın"" dendiğinde, ""Tam tersine, bizler barış ve esenlik getirenleriz!"" demişlerdir."
,14,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Dikkat edin, gerçekte onlar, bozgun getirenlerin ta kendileridir de bunun bilincinde olmuyorlar."
,14,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Onlara, ""İnsanların inandığı gibi siz de inanın"" dendiğinde, ""Yani biz de kafası çalışmayan zavallılar gibi inanalım mı?"" derler. Haberiniz olsun ki, kafası çalışmayan düşük seviyeliler onların ta kendileridir; fakat bilmiyorlar."
,14,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Bunlar iman etmiş olanlarla yüzyüze geldiklerinde, ""İman ettik"" derler. Kendi şeytanlarıyla başbaşa kaldıklarına ise söyledikleri şudur: ""Hiç kuşkunuz olmasın biz sizinleyiz. Gerçek olan şu ki, biz alay edip duran kişileriz."""
,14,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,"Allah onlarla alay ediyor ve onları, kendi azgınlıkları içinde bocalar bir halde sürüklüyor."
,14,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"İşte bunlar, doğruluk ve aydınlığı verip karanlık ve sapıklığı satın aldılar da ticaretleri hiçbir kazanç sağlamadı. Bir yol-yordama girebilmiş de değillerdir."
,14,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Onların durumu şu kişinin durumuna benzer: Bir ateş tutuşturmak istedi. Ateş, çevresindekileri aydınlattığında, Allah onların ışığını giderdi ve onları karanlıklar içinde bıraktı; artık görmezler."
,14,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Sağırdırlar, dilsizdirler, kördürler. Onlar artık dönmezler."
,14,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Yahut gökten boşalan bir yağmur haline benzer ki onda karanlıklar var, bir gök gürlemesi var, bir şimşek var. Yıldırımlar yüzünden ölüm korkusuyla parmaklarını kulaklarına tıkarlar. Allah Muhît'tir, küfre sapanları çepeçevre kuşatmıştır."
,14,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"Şimşek, neredeyse gözlerini çarpıp götürüverecek. Kendilerine her aydınlık sunduğunda, orada yürürler. Üzerlerine karanlık binince çakılıp kalırlar. Eğer Allah dileseydi, işitme güçlerini de gözlerini de elbette alıp götürürdü. Çünkü Allah her şeye Kadîr'dir."
,14,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"Ey insanlar! Sizi de sizden öncekileri de yaratan Rabbinize ibadet edin ki, korunabilesiniz."
,14,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"O Rab ki, yeri sizin için bir döşek, göğü de bir bina yaptı. Ve gökten bir su indirdi de onunla sizin için meyvelerden/ürünlerden bir rızık çıkardı. Artık bilip durduğunuz halde Allah""a ortaklar koşmayın."
,14,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Eğer kulumuza indirdiğimizden kuşku içindeyseniz, hadi onun benzerinden bir sure getirin! Allah dışındaki destekçilerinizi/tanıklarınızı da çağırın. Eğer doğru sözlü kişilerseniz..."
,14,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,Eğer yapamazsanız -ki asla yapamayacaksınız- korkun o ateşten ki yakıtı insanlarla taşlardır. Küfre sapanlar için hazırlanmıştır o.
,14,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"İman edip hayra/barışa yönelik işler yapanlara şunu müjdele: Kendileri için, altlarından ırmaklar akan cennetler olacaktır. Onlardaki herhangi bir meyveden bir rızık olarak her nasiplendirildiklerinde, şöyle dileyeceklerdir: ""İşte bu, daha önce rızıklandırıldığımız şey!"" Bu rızık onlara buna benzer şekilde verilmişti. Onlar için orada tertemiz eşler de vardır. Ve onlar orada sürekli kalacaklardır."
,14,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Şu bir gerçek ki Allah, bir sivrisineği hatta onun da üstündeki bir varlığı örnek göstermekten sıkılmaz. Böyle bir durumda, inananlar bilirler ki o, Rablerinden bir gerçektir. Küfre sapmışlar ise şöyle derler: ""Allah, bunu örnek vermekle ne demek istedi?"" Allah onunla birçoğunu saptırır, birçoğunu da onunla doğruya ve güzele kılavuzlar. Allah onunla yoldan çıkmışlardan başkasını saptırmaz."
,14,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"Onlar ki, Allah'a verdikleri ahdi, onunla anlaşıp bağlandıktan sonra bozar, Allah'ın birleştirilmesini emrettiği şeyi keser ve yeryüzünde bozgun çıkarırlar. İşte bunlardır hüsrana uğrayanlar."
,14,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Allah'a nasıl nankörlük ediyorsunuz/Allah'ı nasıl inkâr ediyorsunuz?! Siz ölülerdiniz, O sizi diriltti. Sizi yine öldürecek ve sonra diriltecektir. Nihayet O'na döndürüleceksiniz."
,14,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"O Allah'tır ki, yeryüzündekilerin tümünü sizin için yarattı. Sonra göğe saltanat kurdu da onları yedi gök halinde düzenledi. O Alîm'dir, her şeyi çok iyi bilir."
,14,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"Bir zamanlar Rabbin meleklere: ""Ben, yeryüzünde bir halife atayacağım."" demişti de onlar şöyle konuşmuşlardı: ""Orada bozgunculuk etmekte olan, kan döken birini mi atayacaksın? Oysaki bizler, seni hamt ile tespih ediyoruz; seni kutsayıp yüceltiyoruz."" Allah şöyle dedi: ""Şu bir gerçek ki ben, sizin bilmediklerinizi bilmekteyim."""
,14,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"Ve Âdem'e isimlerin tümünü öğretti. Sonra onları meleklere göstererek şöyle buyurdu: ""Hadi, haber verin bana şunların isimlerini, eğer doğru sözlüler iseniz."""
,14,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"Dediler ki: ""Yücedir şanın senin. Bize öğretmiş olduğunun dışında bilgimiz yok bizim. Sen, yalnız sen Alîm'sin, her şeyi en iyi şekilde bilirsin; Hakîm'sin, her şeyin bütün hikmetlerine sahipsin."""
,14,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"Allah buyurdu: ""Ey Âdem, haber ver onlara onların adlarını."" Âdem onlara onların adlarını haber verince, Allah şöyle buyurdu: ""Dememiş miydim ben size! Ki ben, göklerin ve yerin gaybını en iyi bilenim, A'lem'im. Ve ben, sizin açığa vurduklarınızı da saklayageldiklerinizi de en iyi biçimde bilmekteyim."""
,14,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"O vakit biz meleklere, ""Âdem'e secde edin"" demiştik de İblis dışında tümü secde etmişti. İblis yan çizmiş, kibre sapmış ve nankörlerden olmuştu."
,14,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"Ve Âdem'e şöyle buyurmuştuk: ""Ey Âdem, sen ve eşin cennete yerleşin ve orada dilediğiniz yerde, bol bol yiyin. Ama şu ağaca yaklaşmayın, yoksa zulme sapanlardan olursunuz."""
,14,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"Bunun üzerine şeytan onların ayaklarını kaydırdı da onları içinde bulundukları yerden çıkardı. Biz de şöyle buyurduk: ""Bir kısmınız bir kısmınıza düşman olarak aşağıya inin. Belli bir süre kadar yeryüzünde sizin için bir bekleme yeri, bir nimet/bir yararlanma imkânı olacaktır."""
,14,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"Bunun üzerine Âdem, Rabbinden bazı kelimeler öğrenip belledi de O'na yöneldi. O da onun tövbesini kabul etti. Gerçekten de O, evet O, Tevvâb'dır, tövbeleri cömertçe kabul eder; Rahîm'dir, rahmetini cömertçe yayar."
,14,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,"""Hepiniz oradan aşağı inin."" dedik. Benden size bir yol gösteriş ulaşır da kim bu yol gösterişime uyarsa artık böylelerine hiçbir korku yoktur. Onlar kederle de yüzyüze gelmeyeceklerdir."
,14,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"Nankörlüğe sapıp ayetlerimizi yalanlayanlara gelince onlar, ateşin dostu olacaklardır. Onlar orada sürekli kalacaklardır."
,14,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,"Ey İsrailoğulları! Size lütfettiğim nimetimi hatırlayın; bana verdiğiniz söze vefalı olun ki, ben de size ahdimde vefalı olayım. Ve yalnız benden korkun."
,14,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,Beraberinizdekini doğrulayıcı olarak indirmiş bulunduğuma inanın. Onu ilk inkâr eden siz olmayın. Benim ayetlerimi az bir bedel karşılığı satmayın. Ve yalnız benden sakının.
,14,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,Hakkı bâtılla/saçmalık ve tutarsızlıkla kirletmeyin. Bilip durduğunuz halde gerçeği gizliyorsunuz.
,14,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,"Namazı/duayı yerine getirin, zekâtı verin; rükû edenlerle birlikte rükû edin."
,14,2,51,44,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png,İnsanlara hayırda erginliği/dürüstlüğü emredip de öz benliklerinizi unutuyor musunuz? Üstelik de Kitap'ı okuyup durmaktasınız. Hâlâ aklınızı kullanmayacak mısınız?
,14,2,52,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_45.png,"Sabra ve namaza/duaya sarılarak yardım dileyin. Hiç kuşkusuz bu, kalbi ürperti duyanlardan başkasına çok ağır gelir."
,14,2,53,46,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_46.png,"O ürperti duyanlar, Rablerine kavuşacaklarını düşünürler ve bilirler ki onlar, mutlaka O'na döneceklerdir."
,14,2,54,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_47.png,"Ey İsrailoğulları! Size lütfettiğim nimetimi, sizi âlemlere üstün kıldığımı hatırlayın."
,14,2,55,48,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_48.png,"Ve sakının o günden ki, hiçbir benlik bir başka benliğin her hangi bir şeyi için karşılık ödemez; hiçbir benlikten şefaat kabul edilmez, hiçbir benlikten fidye alınmaz. Ve onlara yardım da edilmez."
