Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_tg
,15,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"Ва чун Парвардигорат ба фариштагон гуфт: «Ман дар замин халифае меофаринам», гуфтанд: «Оё касеро меофарини, ки дар он ҷо фасод кунад ва хунҳо бирезад ва ҳол он ки мо ба ситоиши Ту тасбеҳ мегӯем ва Туро ба поки иқрор мекунем?». Гуфт: «Ман он донам, ки шумо намедонед»."
,15,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"Ва ноҳоро ба тамомӣ ба Одам биёмухт. Сипас онҳоро ба фариштагон арза кард. Ва гуфт: «Агар рост мегӯед, Маро ба номҳои инҳо хабар диҳед»."
,15,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"Гуфтанд: «Муназзаҳӣ (покӣ) Ту. Моро ҷуз он чӣ Худ ба мо омӯхтаӣ, донише нест. Тӯӣ донои ҳаким!»"
,15,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"Гуфт: «Эй Одам, онҳоро аз номҳояшон огоҳ кун!» Чун аз он номҳо огаҳашон кард, Худо гуфт: «Оё ба шумо нагуфтам, ки манн ниҳони осмонҳову заминро медонам ва бар он чӣ ошкор мекунед ва пинҳон медоштед, огаҳам?»."
,15,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"Ва ба фариштагон гуфтем: «Одамро саҷда кунед!» Ҳама саҷда карданд ҷуз Иблис, ки рӯй гардонд ва бартарӣ ҷуст. Ва ӯ аз кофирон буд."
,15,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"Ва гуфтем: «Эй Одам, худ ва занат дар биҳишт ҷой гиред. Ва ҳар чӣ хоҳед, ва ҳар ҷо, ки хоҳед, аз самароти он ба хушӣ бихӯред. Ва ба ин дарахт наздик машавед, ки ба гурӯҳи ситамкорон дароед»."
,15,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"Пас шайтон он дуро ба хато водошт ва аз биҳиште, ки дар он буданд, берун ронд. Гуфтем: «Поин равед, баъзе душмани баъзеи дигар, ва кароргоҳу ҷои бархурдории шумо то рӯзи қиёмат дар замин бошад»."
,15,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"Одам аз Парвардигораш калимае чанд таълим гирифт. Пас Худо тавбаи ӯро пазируфт, зеро тавбапазир ва меҳрубон аст!"
,15,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,"Гуфтем: «Ҳама аз биҳишт поён шавед: пас агар аз ҷониби Ман роҳнамоӣ бароятон омад, бар онҳо, ки аз роҳнамоии Ман пайравӣ кунанд, биме нахоҳад буд ва худ андӯҳнок намешаванд»."
,15,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"Касоне, ки кофир шаванд ва оёти Худоро дуруғ бароранд, худ аҳли ҷаҳаннаманд ва ҷовидона дар он ҷо хоҳад буд."
,15,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,"Эй банӣ-Исроил, неъматеро, ки ба шумо арзонӣ доштам, ба ёд биёваред. Ва ба аҳди Ман вафо кунед, то ба аҳдатон вафо кунам. Ва аз Ман битарсед!"
,15,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,"Ва ба он чӣ нозил кардаам ва китоби шуморо тасдиқ мекунад, имон биёваред ва аз нахустин касоне, ки инкораш мекунанд, мабошед. Ва оёти Маро ба баҳои андак нафурӯшед ва аз Ман битарсед!"
,15,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,"Ҳақро ба ботил маёмезед ва бо он ки ҳақиқатро медонед, пинҳонаш макунед!"
,15,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,Ва намозро барпой доред ва закот бидиҳед ва бо рукӯъкунандагон рукӯъ кунед!
,15,2,51,44,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png,"Оё дар ҳоле ки китобро мехонед, мардумро ба некӣ фармон медиҳед ва худро фаромӯш мекунед? Оё ақлро кор намефармоед!"
,15,2,52,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_45.png,"Аз сабр ва намоз ёрӣ ҷӯед. Ва ин ду, коре душворанд, ҷуз барои аҳли хушӯъ (хоксорон, фурӯтанон)."
,15,2,53,46,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_46.png,"Онон, ки бегумон медонанд, ки бо Парвардигори худ дидор хоҳанд кард ва назди ӯ бозмегарданд."
,15,2,54,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_47.png,"Эй банӣ - Исроил, неъматеро, ки бар шумо арзонӣ доштам ва шуморо бар ҷаҳониён бартарӣ додам, ба ёд биёваред."
,15,2,55,48,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_48.png,"Ва битарсед аз рӯзе, ки ҳеҷ кас дигареро ба кор наёяд ва ҳеҷ шафоъате аз касе пазируфта нагардад ва аз касе ивазе наситонанд ва касеро ёрӣ накунанд."
,15,2,56,49,وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_49.png,"Ва ба ёд оред он гоҳ, ки шуморо аз фиръавниён раҳонидем: шуморо шиканҷаҳои сахт мекарданд, писаронатонро мекуштанд ва занонатонро зинда мегузоштанд. Ва дар ин озмуне бузург аз сӯи Парвардигоратон буд."
