Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_az
,26,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,"O kəslərki, sənə göndərilənə (Qur’ana) və səndən əvvəl göndərilənlərə (Tövrat, İncil, Zəbur və s.) iman gətirir və axirətə də şəksiz inanırlar,"
,26,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,Məhz onlar öz Rəbbi tərəfindən (göstərilmiş) doğru yoldadırlar. Nicat tapanlar (axirət əzabından qurtarıb Cənnətə qovuşanlar) da onlardır.
,26,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"(Ya Rəsulum!) Həqiqətən, kafirləri əzabla qorxutsan da, qorxutmasan da, onlar üçün birdir, iman gətirməzlər."
,26,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,Allah onların ürəyinə və qulağına möhür vurmuşdur. Gözlərində də pərdə vardır. Onları böyük bir əzab gözləyir!
,26,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"İnsanlar içərisində elələri də vardır ki, iman gətirmədikləri halda: “Biz Allaha və qiyamət gününə iman gətirdik“, -deyirlər."
,26,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Onlar elə güman edirlər ki, (qəlblərində olan küfrü gizlətməklə) Allahı və mö’minləri aldadırlar. Bilmirlər ki, əslində ancaq özlərini aldadırlar."
,26,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Onlar ürəyində mərəz (nifaq və həsəd mərəzi) var. Allah onların (şəkk, kin və nifiq) mərəzini daha da artırar. Yalan dedikləri üçün onlar şiddətli bir əzaba düçar olacaqlar!"
,26,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,"Onlara: “Yer üzündə (küfr və günah işlədərək, mö’minləri aldadaraq) fəsad törətməyin!”-dedikdə: “Bizim işimiz ancaq yaxşılıq etməkdir”, -deyə cavab verirlər."
,26,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Bilin ki, onlar fəsad törədəndirlər, lakin (bunu) dərk etmirlər."
,26,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Onlara: ”Başqaları (mühacir və ənsar) iman gətirdikləri kimi siz də iman gətirin!” –deyildiyi zaman (öz aralarında): “Biz də səfehlər (ağılsızlar) kimi iman gətirək?” -deyə cavab verirlər. (Ey mö’minlər!) Agah olun ki, səfeh onların özləridir, lakin (bunu) bilmirlər."
,26,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Onlar mö’minlərlə qarşılaşdıqları zaman: “Biz də (sizin kimi) iman gətirdik”,-deyirlər. Halbuki öz şeytanları ilə (onları aldadan dostları ilə) təkbətək qalanda: “Biz də sizinləyik, biz ancaq (mö’minlərə) istehza edirik”,-deyirlər."
,26,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,"(Belə əməllərin müqabilində) Allah da onlara (dünya va axirətdə) istehza edər və (dünyada) onlara o qədər möhlət verər ki, öz zəlalətləri icində şaşqın (və sərgərdan) qalarlar. (Və ya: Allah da onlara istehza edər və onları öz zəlalətləri, tüğyanları içində saxlayar)."
,26,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,Onlar doğru yol əvəzində əyri yolu satın almış kəslərdir. Onların alveri xeyir getirmədi və haqq yolu da tapmadılar.
,26,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Onların (münafiqlərin) halı (qaranlıq gecədə) od yandıran şəxsin halına bənzər. Od (yanıb) ətrafındakıları işıqlandırdığı zaman Allah onların işıgını keçirər və özlərini zülmət içərisində qoyar, (artıq heç nə) görməzlər."
,26,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Onlar kar, lal və kordurlar (haqqı eşitməz, danışmaz və görməzlər). Buna görə də (öz pis adətlərindən, yaramaz əməllərindən) dönməzlər."
,26,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Yaxud (o münafiqlər) qaranlıqlarda göy gurultusu və şimşəklə səmadan şiddətlə yağan yağışa düşmüş kimsələrə bənzərlər ki, ildırımın səsindən ölmək qorxusu ilə barmaqlarını qulaqlarına tıxayarlar. Halbuki Allah kafirləri (Öz elmi, qüdrəti ilə) ehtiva edəndir (Onun əlindən əsla qaçıb qurtara bilməzlər)."
,26,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"İldırımın çaxması az qalır ki, onların gözlərinin işığını alsın (onları kor etsin). (Şimşək) onlara işıq verdiyi zaman (onun şüası ilə) yeriyirlər, üzərlərinə qaranlıq çökdükdə isə (olduqları yerdə) dayanıb dururlar. Əgər Allah istəsəydi, onların qulaqlarını və gözlərini əllərindən alardı. Həqiqətən, Allah hər şeyə qadirdir."
,26,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"Ey insanlar! Sizi və sizdən əvvəlkiləri yaratmış Rəbbinizə ibadət edin ki, müttəqi olasınız! (Allahdan qorxub pis əməllərdən çəkinəsiniz!)"
,26,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"O Allah ki, sizin üçün yer üzünü döşədi, göyü isə tavan yaratdı, göydən yağmur endirdi və onun vasitəsilə sizin üçün müxtəlif meyvələrdən ruzilər yetişdirdi. İndi siz də Allaha (Onun heç bir oxşarı və bənzəri olmadığını) bilə-bilə şəriklər qoşmayın!"
,26,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Əgər bəndəmizə (Muhəmmədə) nazil etdiyimizə (Qur’ana) şəkkiniz varsa, siz də (fəsahətdə və bəlağətdə) ona bənzər bir surə gətirin və əgər (“bu, bəşər kəlamıdır” sözünü) doğru deyirsinizsə, onda Allahdan savayı (bütün) şahidlərinizi (bütlərinizi, şair və alimlərinizi bu işdə köməyə) çağırın!"
,26,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,"Madam ki, bele bir işi bacarmırsınız, heç bacara da bilməzsiniz, o halda kafirlər üçün hazırlanmış, yanacağı (günahkar) insanlardan və kibrit daşlarından ibarət olan oddan (Cəhənnəmdən) həzər edin!"
,26,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"(Ya Peyğəmbər!) İman gətirən və yaxşı işlər görən kimsələrə müjdə ver: onlar üçün (ağacları) altından çaylar axan cənnətlər (bağlar) vardır. (O cənnətlərin) meyvələrindən bir ruzi yedikləri zaman: “Bu bizim əvvəlcə (dünya evində) yediyimiz ruzidir”,- deyəcəklər. Əslində isə bu (ruzi, meyvələr) onlara (dünyadakılara zahirən) bənzər olaraq verilmişdir. Onlardan ötrü orada (hər cəhətdən) pak (olan) zövcələr də var. Onlar (mö’minlər) orada əbədi qalacaqlar."
,26,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Əlbətdə, Allah (Qur’anda) ağcaqanadı və ya ondan daha böyüyünü misal gətirməkdən çəkinməz. İman gətirənlər bunun öz Rəbbi tərəfindən bir həqiqət olduğunu bilirlər, kafirlər isə: “Allah bu məsəllə nə demək istəyir?”-deyirlər. Allah bununla (bu məsəllə) bir çoxlarını zəlalətə salır, bir çoxlarını isə doğru yola yönəldir. Allah yalnız fasiqləri zəlalətə düçar edir."
,26,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"O kəslər ki, Allahla (Ona iman gətirmək və itaət etmək barəsində) əhd bağladıqdan sonra onu pozur, Allahın birləşdirilməsini buyuduğu şeyləri parçalayır (mö’minlərlə dostluğu, qohum-əqrəba ilə əlaqələri kəsir) və yer üzündə fitnə-fəsad törədirlər. Məhz belələri (dünyada və axirətdə) ziyana uğrayanlardır!"
,26,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Allahı necə inkar edirsiniz ki, siz ölü idiniz, O sizi diriltdi. O sizi (əcəliniz gəldikcə) yenə öldürəcək, sonra (qiyamətdə) yenə də dirildəcək və daha sonra siz (əməllərinizin haqq-hesabı çəkilmək üçün) Ona tərəf (Onun hüzuruna) qaytarılacaqsınız."
,26,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"Yer üzündə nə varsa, hamısını sizin üçün yaradan, sonra səmaya üz tutaraq onu yeddi qat göy halında düzəldib nizama salan Odur (Allahdır)! O, hər şeyi biləndir!"
,26,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"(Ya Rəsulum!) Sənin Rəbbin mələklərə: “Mən yer üzündə bir xəlifə (canişin) yaradacağam”, - dedikdə (mələklər): “Biz Sənə şükür etdiyimiz, şə’ninə tə’riflər dediyimiz və Səni müqəddəs tutduğumuz halda, Sən orada (yer üzündə) fəsad törədəcək və qan tökəcək bir kəsmi yaratmaq istəyirsən?”- söylədilər. (Allah onlara: ) “ Mən bildiyim şeyi siz bilmirsiniz!” – buyurdu."
,26,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"(Allah Adəmi yaratdıqdan sonra) Adəmə bütün şeylərin adlarını (ismlərini) öyrətdi. Sonra onları (həmin şeyləri) mələklərə göstərərək: “(İddianızda) doğrusunuzsa, bunların adlarını Mənə bildirin!”- dedi."
,26,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"Onlar: “Sən paksan, müqəddəssən! (Bütün eyib və nöqsanlardan kənarsan!) Sənin bizə öyrətdiklərindən başqa biz heç bir şey bilmirik. (Hər şeyi) bilən Sən, hikmət sahibi Sənsən”, - dedilər."
,26,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"(Sonra) O: “Ey Adəm, bunların (kainatda mövcud olan əşyanın) adlarını onlara bildir!”- dedi. (Adəm) onlara (mələklərə) bunların adlarını xəbər verdikdə (Allah): “Mən sizə, göylərin və yerin gözə görünməyən sirlərini və sizin gizlində - aşkarda nə etdiyinizi bilirəm, söyləmədimmi?” – buyurdu."
,26,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"(Ya Peyğəmbər!) Biz mələklərə: “Adəmə səcdə edin! – dedikdə İblisdən başqa (hamısı) səcdə etdi. (Yalnız) o, lovğalanaraq (səcdə etməkdən) imtina etdi və kafirlərdən oldu."
,26,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"(Sonra) Biz (Adəmə) dedik: “Ey Adəm, sən zövcənlə (Həvva ilə) Cənnətdə qal və hər ikiniz oradakı meyvələrdən, istədiyiniz kimi, bol-bol yeyin, yalnız bu ağaca (buğdaya) yaxın gəlməyin! Yoxsa (özünüzə) zülm edənlərdən olarsınız”."
,26,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"(Lakin) Şeytan onları azdırıb (buğdadan yedizdirməklə ne’mətlər içində) olduqları yerdən uzaqlaşdırdı. Biz də (Adəmə, Həvvaya və Şeytana): “Bir-birinizə düşmən kəsilərək (buradan kənar olub yer üzünə) enin! Yerdə sizin üçün müəyyən vaxta qədər (ömrünüzün axırınadək) sığinacaq və yaşayış (dolanacaq) vasitələri var”,-dedik."
,26,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"(Nəhayət) Adəm rəbbindən (bə’zi xüsusi) kəlmələr öyrənərək (Həvva ilə birlikdə o kəlmələr vasitəsilə) tövbə etdi. Doğrudan da, O (Allah) tövbələri qəbul edəndir, mərhəmətlidir."
,26,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,Biz (onlara) dedik: “Hamınız buradan (yer üzünə) enin! Mənim tərəfimdən sizə bir hidayət (peyğəmbər və Kitab) gəldiyi zaman Mənim hidayətimə tabe olanlara (axirət əzabından) heç bir qorxu yoxdur və onlar (qiyamətdə) qəmgin olmazlar”.
,26,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"Kafir olaraq ayələrimizi təkzib edənlər isə cəhənnəmlikdirlər, onlar orada (atəş içində) əbədi qalacaqlar."
,26,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,"Ey İsrail oğulları! Sizə bəxş etdiyim ne’mətimi xatırlayın, (Tövratda axirüzzəman peyğəmbər barəsindəki) buyurduğumu yerinə yetirin ki, Mən də sizinlə (sizi Cənnətə varid etmək barəsində) olan əhdə vəfa edim. Yalnız Məndən qorxun!"
,26,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,Sizin əlinizdəkini (Tövratı) təsdiqləyici kimi göndərdiyimə (Qur’ana) iman gətirin! Onu inkar edənlərin əvvəlincisi siz olmayın! Mənim ayələrimi (Tövratdakı hökmlərimi) ucuz qiymətə (dəyərsiz dünya malına) satmayın və ancaq Məndən qorxun!
,26,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,"Siz bilə-bilə haqqı batillə qarışdırmayın, haqqı gizlətməyin!"
,26,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,"(Müsəlmanların namazı kimi) namaz qılın, zəkat verin və rüku edənlərlə birlikdə rüku edin!"
