Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_so,content_ar,sura name,meaning,sura images,ayah_image
Ayah 13so,4,2,13,6,kuwii Gaaloobay waxaa isugumid ah udigtayaa iyo umaadan diginaa mana rumeeyaan (xaqa).,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png
Ayah 14so,4,2,14,7,Lebaa daabacay Quluubtooda iyo Maqalkooda. aragoodana wuxuu yeeley Dabool waxaana u sugnaaday Cadaab weyn.,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png
Ayah 15so,4,2,15,8,Dadka waxaa ka mid ah kuwo dhihi waxaan rumeynay Eebe iyo maalintii dambaysay (Qiyaamada) haddana aan Mu'miniin ahyn.,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png
Ayah 16so,4,2,16,9,waxay khiyaameyn Eebe iyo kuwa (Xaqa) rumeeyey naftooda ahayn mase kasayaan.,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png
Ayah 17so,4,2,17,10,Quluubtay ka bukaan markaasaa Eebe u siyaadiyay Cuduro waxayna mudan Cadaab daran Beentoodii Darteed.,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png
Ayah 18so,4,2,18,11,marka lagu dhoho ha fasaadinina dhulka waxay dhahaan annagu waxaan uun nahay Hagaajiyayaal.,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png
Ayah 19so,4,2,19,12,iyaga unbaa fasaadiyayaal ah hasa yeeshee ma kasayaan.,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png
Ayah 20so,4,2,20,13,"marka lagu dhaho rumeeya sida Dadku u rumeeyey waxay dhihi mawaxaannu u rumayn sida sufahada (Caqli gaabka), waxaase sufaha ah iyaga uun laakiin ma oga.",وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png
Ayah 21so,4,2,21,14,"markay la kulmaan kuwa ru-meeyey (Xaqa) waxay dhihi waan rumaynay, markay la kaliyoobaan shaydaamiidana waxay dhahaan annagu waan idinla Jirraa, ee waxaan ahayn uun kuwa ku jees jeesa (Mu'miniinta).",وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png
Ayah 22so,4,2,22,15,"Eebaa ja abaal marin Jees jeeska, wuxuuna u siyaadin kibirkooda iyo Baadidooda, iyagoo ku dhexwareeri.",اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png
Ayah 23so,4,2,23,16,"kuwaase waxay ku gateen haadida hanuunka, mana ribxin (faa'iidin) ganacsigoodu mana hanuunsana.",أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png
Ayah 24so,4,2,24,17,"waxay la mid yihiin mid huriyey Dab, markuu iftiimiyay gaararkoodana yaa Eche la tagay Nuurkoodii ugagana tadax arkayn.",مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png
Ayah 25so,4,2,25,18,"waa Dhaga la'aan, Hadala'aan, aragla'aan, xaqana uma soo noqdaan.",صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png
Ayah 26so,4,2,26,19,"wuxuu la midyahay xaalkoodu sidii Roob Samada ka soo degay oo Mugdiyo onkod iyo Hillaac leh, oy yeelayaan Farahooda Dhagahooda hanqadhka (Danabka) xaggiisa geeri ka digtooni darteed, Eebana waa koobay Gaalo.",أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png
Ayah 27so,4,2,27,20,"wuxuu u dhawyahay hillaacu (xaqu) inuu dafo aragooda, markastoos u Ifo way ku socdaan, markuu ku mugdiyoobana way istaagaan, hadduu Eebe doonana wuxuu la tagaa Maqalkooda iyo Aragooda Eebana wax walba waa karaa (oos doonoo).",يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png
Ayah 28so,4,2,28,21,"Dadow caabuda Echihiinna idin abuuray idinka iyo kuwii idinka horrecyey, waxaadna mudataan inaad dhowrsataan.",يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png
Ayah 29so,4,2,29,22,"Eebaha Dhulka idiin ka yeelay Gogol, Samadana dhismo, idiinkanasoo dajiyey Samada Biyo, kuna soo bixiyey Midho si laydiinku arzuqo ee hayeelina Eebe kuwa la mid ah idiinkoo og.",الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png
Ayah 30so,4,2,30,23,"haddaad shakisantihiin waxaan ku dejinay addoonkanaga (Nabiga) keena Suurad la mid ah, una yeedha markhaatiyadin (kaalmeeyayaashiinna) ee Eebe ka soo hadhay haddaad runlowtihiin.",وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png
Ayah 31so,4,2,31,24,"haddaydaan falin mana falaysaane ka dhawrsada Naar lagu shido Dadka iyo Dhagaxa, loona darbay gaalada.",فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png
Ayah 32so,4,2,32,25,"ugu bishaaree kuwa rumeeyey (xaqa) Camal fiicanna falay inay mudan Janooyin ay socoto dhexdeeda Wabiyaalkii, markastoo laga arxaaqo xaggeeda midho waxay dhahaan kani waa kii horay naloogu arzuqay, waxaa la siiyey isagoo isu eg (araga) waxayna dhexdeeda ku leeyihiin Haween (Janno) oo nadiif ah, dhexdeedana way ku waari.",وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png
Ayah 33so,4,2,33,26,"Eebe kama xishoodo (reebtoonaado) inuu tusaale u yeelo kaneeco iyo waxkasareeyaba, kuwa (xaqa) ru-meeyeyse waxay ogyihiin inuu xaqyahay (Quraanku) kana yimid xagga Eebahood kuwa gaaloobayse waxay dhihi muxuu Eebe ula jeedaatusaalahan, wuxuu ku dhumin Eebe in badan wuxuuna ku hanuunin in badan waxaan faasiqiin ahayna kuma dhumiyo.",۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png
Ayah 34so,4,2,34,27,"ee ah kuwa buriya ballanka Eebe intay adkeeyeen ka dib, oo gooya wuxuu faray Eebe in la xidhiidhiyo oo fasaadiya Dhulka kuwaasu waa kuwa khasaaray.",الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png
Ayah 35so,4,2,35,28,"seed uga gaaloobaysaan Eebe idinkoo ahaa waxaan noolayn, markaas Eebe idin soo noolayn ka dibna xaggiisa laydiin eelin.",كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png
Ayah 36so,4,2,36,29,"Eebe waa kan idiin abuuray waxa dhulka ku sugan dhamaan, markaas Samada ahaysiiyey kana dhigay Todobo Samo, Eebe wax walbana waa ogyahay.",هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png
Ayah 37so,4,2,37,30,"xus markuu ku yidhi Eebahaa Malaa'igta waxaan yeeli Dhulka cid u hadha, oyna dheheen ma waxaad yeeli dhexdeeda cid fasaadisa oo kudaadisa dhiig annagoo ku wayneynayna markaasuu yidhi anigu waxaan ogahay waxaydaan ogayn.",وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png
Ayah 38so,4,2,38,31,"Eebe wuxuu baray Nabi Aadam magacyada dhammaan, markaasuu u bandhigay Eebe malaa'igtakuna yidhi'iiga warama magacyada kuwaas hadaad runlowtihiin.",وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png
Ayah 39so,4,2,39,32,"waxayna dheheen nasahnidaada Eebow, cilmi malihin waxaad na barto mooyee waxaad tahay adigu wax oge falsan.",قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png
Ayah 40so,4,2,40,33,"wuxuuna yidhi Eebe Aadamow uga warran magacyadooda, markuu magacyadooda uga warramay yuu yidhi Eebe miyaanan idiin ku dhihin anigu waxaan ogahay waxa ku maqan Samooyinka. iyo inaan ogahay waxaad muujinaysaan iyo waxaad qarsanaysaan.",قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png
Ayah 41so,4,2,41,34,"xus markaan ku nidhi Malaa'igay u sujuuda Aadam, markaasay sujnudeen Ibliis mooye, wuu diiday wuuna iskibriyay, wuxuuna ka midnoqday galaada.",وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png
Ayah 42so,4,2,42,35,"waxaana nidhi Aadamow dag adida iyo Haweenaydaadu janada, kana cuna xageeda (cunno) shifo oo waasac ah meeshaad doontaan hana u dhawaanina geedan oo markaas aad kamid noqotaan daalimiinta.",وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png
Ayah 43so,4,2,43,36,"Waxaana ka fogeeyey xagooda Jannada shaydaan wuxuuna ka bixiyey waxay ku sugnaayeen, waxaana ku nidhi ka hoobta Jannada, qaarkiinna dhulka idiinku sugnaaday meel aad ku nagaataan iyo raaxo tan iyo waqti.",فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png
Ayah 44so,4,2,44,37,"waxuuna kala kulmay Aadam xagga Eebe kalimooyin, wuuna ka toobad aqbalay Eebana waa toobad aqbalbadane waana naxariiste.",فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png
Ayah 45so,4,2,45,38,"waxaan ku nidhi ka hoobta xaggeeda dhamaantiin, hadduu idiinka yi-maaddo xaggayga hanuun ruuxii raaca hanuunka cabsi korkiisa ma ahaato iyo murug midna.",قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png
Ayah 46so,4,2,46,39,"kuwa gaaloobayse oo beeniyey aayaadkanaga, kuwaasu waa chclunaar dhexdeedana way ku waari.",وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png
Ayah 47so,4,2,47,40,"Bini Israa'iilow xusa nicmadayda aan idiinku nicmeeyey, oofiyana ballankaygii aan oofiyo ballankiina, aniga uun igacabsada.",يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png
Ayah 48so,4,2,48,41,"rumeeyana waxaan dejiyey isagoo rumayn waxaad haysataan, hana noqonina mid ka gaaloobay quraanka kii ugu horreeyay, hana ku gadanina aayaadkayga qiimo yar (aduunka) aniga uun iga dhawrsada.",وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png
Ayah 49so,4,2,49,42,"hana ku khaldina xaqa baadilka, ood qarisaan xaqa idinkoo og.",وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png
Ayah 50so,4,2,50,43,"ooga salaada, hixiyana sakada, lana rukuuca (lukada).",وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png
Ayah 51so,4,2,51,44,ma waxaad faraysaan dadka wanaaga od halmaansantihin naftiina idinkoo akhrin Kitaabka miyeydaan wax ka sayn.,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png
Ayah 52so,4,2,52,45,kaalmaysta samirka iyo salaadda wayna ku wayn tahay salaaddu (ku culustahay) kuwa khushuuca mooyee.,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_45.png
Ayah 53so,4,2,53,46,kuwa citiqaadsan inay la kulmi Echahood xagiisana loo celin.,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_46.png
Ayah 54so,4,2,54,47,"Bini'israa'iillow xusa nicmadeydii aan idiinku nicmeeyey, iyo inaan idinka fadilay caalamkii (markaas).",يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_47.png
Ayah 55so,4,2,55,48,48 kana dhawrsada maalin aan naf abaalmarinayn naf (kale) qiyaamada aan lagana aqbalayn shafeeeo lagana qaadayn (ogalayn) furasho loona gargaarayn.,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_48.png
Ayah 56so,4,2,56,49,"xusa markaan idinka korinay fircoon iyo colkiisii ce idin dhadhansiin jiray cadaab daran, ayna gawrici jireen wiilashiina ayna dayn jireen gabdhihiina, taasina waxaa ku sugan irntixaam wayn oo Eebihiin.",وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_49.png
