Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_ug
,12,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,شۈبھىسىزكى، كاپىرلارنى ئاگاھلاندۇرامسەن، ئاگاھلاندۇرمامسەن، بەرىبىر، ئۇلار ئىمان ئېيتمايدۇ
,12,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,اﷲ ئۇلارنىڭ دىللىرىنى ۋە قۇلاقلىرىنى پېچەتلىۋەتكەن (ئىماننىڭ نۇرى كىرمەيدۇ)، ئۇلارنىڭ كۆزلىرى پەردىلەنگەن (ھەقىقەتنى كۆرمەيدۇ)، ئۇلار (ئاخىرەتتە) قاتتىق ئازابقا دۇچار بولىدۇ
,12,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,كىشىلەر ئارىسىدا اﷲ قا ۋە ئاخىرەت كۈنىگە ئىشەندۇق دېگۈچىلەر بار، ھەقىقەتتە ئۇلار ئىشەنمەيدۇ (يەنى ئاغزىدا ئىشەندۇق دېگىنى بىلەن، كۆڭلىدە ئىشەنمەيدۇ)
,12,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,ئۇلار اﷲ نى ۋە مۆمىنلەرنى ئالدىماقچى بولىدۇ، ھەقىقەتتە ئۇلار تۇيماستىن ئۆزلىرىنىلا ئالدايدۇ
,12,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,ئۇلارنىڭ دىللىرىدا كېسەل (يەنى مۇناپىقلىق ۋە شەكلىنىش) بار، اﷲ ئۇلارنىڭ كېسىلىنى كۈچەيتىۋەتتى؛ يالغان سۆزلىگەنلىكلىرى (يەنى يالغاندىن ئىماننى دەۋا قىلغانلىقلىرى ۋە اﷲ نىڭ ئايەتلىرىنى مەسخىرە قىلغانلىقلىرى) ئۈچۈن ئۇلار قاتتىق ئازابقا دۇچار بولىدۇ
,12,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,ئۇلارغا: «يەر يۈزىدە بۇزغۇنچىلىق قىلماڭلار» دېيىلسە، «بىز ئىسلاھ قىلغۇچىلارمىز» دەيدۇ
,12,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,بىلىڭلاركى، ئۇلار ھەقىقەتەن بۇزغۇنچىلاردۇر، لېكىن بۇنى ئۆزلىرى تۇيمايدۇ
,12,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,ئۇلارغا (يەنى مۇناپىقلارغا): «ئىمان ئېيتقان كىشىلەردەك (يەنى ساھابىلەردەك چىن كۆڭلۈڭلار بىلەن) ئىمان ئېيتىڭلار» دېيىلسە، «بىز ئىمان ئېيتقان ئەخمەقلەرگە ئوخشاش ئىمان ئېيتامدۇق؟» دەيدۇ. بىلىڭلاركى ئۇلارنىڭ ئۆزلىرىلا ئەخمەقلەر، لېكىن (بۇنى) ئۇلار تۇيمايدۇ
,12,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,ئۇلار مۆمىنلەر بىلەن ئۇچراشقىنىدا: «بىز ئىمان ئېيتتۇق» دېيىشىدۇ، شاياتۇنلىرى (يەنى مۇناپىق كاتتىباشلىرى) بىلەن يالغۇز جايدا تېپىشقاندا بولسا «بىز ھەقىقەتەن سىلەر بىلەن بىللىمىز، پەقەت (تىلىمىزنىڭ ئۇچىدىلا ئىمان ئېيتىپ قويۇپ) مۆمىنلەرنى مەسخىرە قىلىمىز» دەيدۇ
,12,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,مەسخىرە قىلغانلىقلىرى ئۈچۈن اﷲ ئۇلارنى جازالايدۇ، ئۇلارنى گۇمراھلىقلىرىدا قويۇپ بېرىدۇكى، ئۇلار تېڭىرقىغان ھالدا يۈرۈشىدۇ
,12,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,ئەنە شۇلار ھىدايەتنى بېرىپ گۇمراھلىقنى ئالدى. شۇڭا سودىسى پايدا كەلتۈرمىدى، ئۇلار ھىدايەت تاپقۇچى بولمىدى
,12,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,ئۇلار گوياكى (كېچىدە ئىسسىنىش ۋە يورۇقلۇق ئېلىش ئۈچۈن) ئوت ياققان كىشىلەرگە ئوخشايدۇ، ئوت ئۇلارنىڭ ئەتراپىنى يورۇتقاندا، اﷲ ئۇلارنىڭ (ئوتىنىڭ) يورۇقىنى ئۆچۈرۈۋەتتى، ئۇلارنى (ئەتراپىدىكى ھېچ نەرسىنى) كۆرەلمەيدىغان قاراڭغۇلۇقتا قالدۇردى
,12,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,ئۇلار گاستۇر (يەنى گاس ئاڭلىمىغاندەك، ياخشىلىقنى ئاڭلىمايدۇ)، گاچىدۇر (يەنى گاچا سۆزلىيەلمىگەندەك، ياخشى ئىشنى سۆزلىيەلمەيدۇ)، كوردۇر (يەنى كور بولۇپ قالغاندەك، توغرا يولنى كۆرمەيدۇ)، شۇڭا ئۇلار (گۇمراھلىقتىن) قايتمايدۇ
,12,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,ياكى ئۇلار زۇلمەتلىك، گۈلدۈرمامىلىق ۋە چاقماقلىق قاتتىق يامغۇردا قالغان، گويا چاقماق سوقۇۋېتىپ ئۆلۈپ كېتىشتىن قورقۇپ، قۇلاقلىرىنى بارماقلىرى بىلەن ئېتىۋالغان كىشىلەرگە ئوخشايدۇ. اﷲ كاپىرلارنى (يەنى ئۇلارنىڭ ھەممە ئەھۋالىنى) بىلىپ تۇرغۇچىدۇر
,12,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,چاقماق چاققاندا ئۇلار كۆز نۇرىدىن ئايرىلىپ قالغىلى تاس قالىدۇ. ئۇلار چاقماق يورۇقىدا مېڭىۋالىدۇ؛ قاراڭغۇلۇق قاپلىغاندا تۇرۇپ قالىدۇ، اﷲ خالىسا ئىدى، ئۇلارنى ئاڭلاش ۋە كۆرۈش قۇۋۋىتىدىن ئەلۋەتتە مەھرۇم قىلاتتى. اﷲ ھەقىقەتەن ھەر نەرسىگە قادىردۇر
,12,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,ئى ئىنسانلار! تەقۋادارلاردىن بولۇشۇڭلار ئۈچۈن، سىلەرنى ۋە سىلەردىن بۇرۇنقىلار (يەنى ئۆتكەنكى ئۈممەتلەر) نى ياراتقان پەرۋەردىگارىڭلارغا ئىبادەت قىلىڭلار
,12,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,اﷲ سىلەرگە زېمىننى تۆشەك ۋە ئاسماننى بىنا (يەنى يۇلتۇزلارنىڭ زىچلىقىدا بىناغا ئوخشاش) قىلىپ بەردى، بۇلۇتتىن يامغۇر ياغدۇرۇپ بەردى، سىلەرگە رىزىق بولۇش ئۈچۈن يامغۇر ئارقىلىق تۈرلۈك مېۋىلەرنى ئۆستۈرۈپ بەردى. ئەمدى اﷲ قا شېرىك كەلتۈرمەڭلار، ھالبۇكى، سىلەر (اﷲ نىڭ شېرىكى يوقلۇقىنى) بىلىپ تۇرىسىلەر
,12,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,بەندىمىز (مۇھەممەد) گە بىز نازىل قىلغان قۇرئاندىن شەكلەنسەڭلار، قۇرئانغا ئوخشاش بىرەر سۈرىنى مەيدانغا چىقىرىپ بېقىڭلار (قۇرئانغا تەئەررۇز قىلىشتا) اﷲ تىن باشقا ياردەمچىڭلارنىڭ ھەممىسىنى (ياردەمگە) چاقىرىڭلار، (قۇرئان ئىنساننىڭ سۆزى دېگەن گېپىڭلاردا) راستچىل بولساڭلار
,12,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,ئەگەر مۇنداق قىلالمىساڭلار - ھەرگىزغۇ قىلالمايسىلەر - كاپىرلار ئۈچۈن تەييارلانغان، ئىنسان ۋە تاشلار يېقىلغۇ بولغان دوزاختىن ساقلىنىڭلار
,12,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,(ئى مۇھەممەد!) ئىمان ئېيتقان ۋە ياخشى ئەمەللەرنى قىلغانلارغا ئۇلارنىڭ ئاستىدىن ئۆستەڭلەر ئېقىپ تۇرىدىغان جەننەتلەرگە كىرىدىغانلىقى بىلەن خۇش خەۋەر بەرگىن. ئۇلار جەننەتنىڭ بىرەر مېۋىسىدىن رىزىقلاندۇرۇلغان چاغدا: «بۇنىڭ بىلەن بۇرۇن (دۇنيادىمۇ) رىزىقلاندۇرۇلغان ئىدۇق» دەيدۇ. ئۇلارغا كۆرۈنۈشى دۇنيانىڭ مېۋىلىرىگە ئوخشايدىغان، تەمى ئوخشىمايدىغان مېۋىلەر بېرىلىدۇ. جەننەتلەردە ئۇلارغا پاك جۈپتىلەر (يەنى ھۆرلەر) بېرىلىدۇ، ئۇلار جەننەتلەردە مەڭگۈ قالىدۇ
,12,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,اﷲ ھەقىقەتەن پاشا ۋە ئۇنىڭدىنمۇ كىچىك نەرسىلەرنى مىسال قىلىپ كەلتۈرۈشتىن تارتىنىپ قالمايدۇ، مۆمىنلەر بولسا ئۇنى پەرۋەردىگارى تەرىپىدىن نازىل بولغان ھەقىقەت دەپ بىلىدۇ؛ كاپىرلار بولسا: «اﷲ بۇ نەرسىلەرنى مىسال قىلىپ كەلتۈرۈشتىن نېمىنى ئىرادە قىلىدۇ؟» دەيدۇ. اﷲ بۇ مىسال بىلەن نۇرغۇن كىشىلەرنى (ئۇنى ئىنكار قىلغانلىقتىن) ئازدۇرىدۇ ۋە نۇرغۇن كىشىلەرنى (ئۇنى تەستىقلىغانلىقتىن) ھىدايەت قىلىدۇ؛ شۇ ئارقىلىق پەقەت پاسىقلارنىلا ئازدۇرىدۇ
,12,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,پاسىقلار اﷲ ۋەدە ئالغاندىن كېيىن بەرگەن ۋەدىسىنى بۇزىدۇ. اﷲ ئۇلاشقا بۇيرۇغان شەيئىنى ئۈزۈپ قويىدۇ (يەنى سىلە - رەھىم قىلمايدۇ)، يەر يۈزىدە بۇزۇقچىلىق قىلىدۇ؛ ئەنە شۇلار زىيان تارتقۇچىلاردۇر
,12,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,اﷲ نى قانداقمۇ ئىنكار قىلىسىلەركى، جانسىز ئىدىڭلار، سىلەرگە جان بەردى (يەنى ئاتاڭلارنىڭ پۇشتىدا، ئاناڭلارنىڭ قارنىدا ئابىمەنىي ئىدىڭلار)، كېيىن (ئەجىلىڭلار توشقاندا) اﷲ جېنىڭلارنى ئالىدۇ، ئاندىن كېيىن تىرىلدۈرىدۇ، ئاندىن كېيىن اﷲ نىڭ دەرگاھىغا (ھېساب بېرىش ئۈچۈن) قايتۇرۇلىسىلەر
,12,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,اﷲ يەر يۈزىدىكى ھەممە نەرسىنى سىلەر (نىڭ پايدىلىنىشىڭلار) ئۈچۈن ياراتتى، ئاندىن ئاسماننى يارىتىشقا يۈزلىنىپ، ئۇنى قۇسۇرسىز يەتتە ئاسمان قىلىپ تاماملىدى. اﷲ ھەرنەرسىنى بىلگۈچىدۇر
,12,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,ئۆز ۋاقتىدا پەرۋەردىگارىڭ پەرىشتىلەرگە: «مەن يەر يۈزىدە خەلىپە (يەنى ئورۇنباسار) يارىتىمەن» دېدى. پەرىشتىلەر: «يەر يۈزىدە بۇزۇقچىلىق قىلىدىغان، قان تۆكىدىغان (شەخسنى) خەلىپە قىلامسەن؟ ھالبۇكى بىز سىنى پاك دەپ مەدھىيىلەيمىز، مۇقەددەس دەپ مەدھىيىلەيمىز» دېدى. اﷲ: «مەن ھەقىقەتەن سىلەر بىلمەيدىغان نەرسىلەرنى بىلىمەن» دېدى
,12,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,اﷲ پۈتۈن شەيئىلەرنىڭ ناملىرىنى ئادەمگە ئۆگەتتى، ئاندىن ئۇلارنى پەرىشتىلەرگە كۆرسىتىپ: «(خەلىپە بولۇشقا ئادەمگە قارىغاندا بىز ھەقلىق دەيدىغان قارشىڭلاردا) راستچىل بولساڭلار، بۇ شەيئىلەرنىڭ ناملىرىنى ماڭا ئېيتىپ بېرىڭلار» دېدى
,12,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,پەرىشتىلەر: «سېنى (پۈتۈن كەمچىلىكلەردىن) پاك دەپ تونۇيمىز. بىز سەن بىلدۈرگەندىن باشقىنى بىلمەيمىز، ھەقىقەتەن سەن ھەممىنى بىلگۈچىدۇرسەن، ھېكمەت بىلەن ئىش قىلغۇچىدۇرسەن» دېدى
,12,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,اﷲ: «ئى ئادەم! ئۇلارغا بۇ نەرسىلەرنىڭ ناملىرىنى ئېيتىپ بەرگىن» دېدى. ئادەم ئۇلارغا بۇ نەرسىلەرنىڭ ناملىرىنى ئېيتىپ بەرگەن چاغدا، اﷲ: «مەن سىلەرگە، ئاسمانلاردىكى ۋە زېمىندىكى غەيبلەرنى ھەقىقەتەن بىلىپ تۇرىمەن، ئاشكارا ۋە يوشۇرۇن ئىشىڭلارنى بىلىپ تۇرىمەن، دېمىگەنمىدىم» دېدى
,12,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,ئۆز ۋاقتىدا پەرىشتىلەرگە: «ئادەمگە سەجدە قىلىڭلار» دېدۇق، ئىبلىستىن باشقا ھەممىسى سەجدە قىلدى، ئىبلىس (سەجدە قىلىشتىن) باش تارتتى، تەكەببۇرلۇق قىلدى، ئۇ كاپىرلاردىن بولۇپ كەتتى
,12,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,بىز (ئادەمگە): «ئى ئادەم! سەن خوتۇنۇڭ (يەنى ھەۋۋا) بىلەن جەننەتتە تۇرۇڭلار! جەننەتتىكى نەرسىلەردىن خالىغىنىڭلارچە كەڭتاشا يەپ - ئىچىڭلار، بۇ دەرەخكە يېقىنلاشماڭلار (يەنى مېۋىسىدىن يېمەڭلار)، بولمىسا (ئۆزۈڭلارغا) زۇلۇم قىلغۇچىلاردىن بولۇپ قالىسىلەر» دېدۇق
