Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_sq
,17,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"O Adem – tha Ai – tregoju emrat e tyre! – Kur ai u tregoi emrat e tyre, Allahu tha: “A nuk ju kam thënë se vetëm Unë i di fshehtësitë e qiellit e të Tokës dhe vetëm Unë e di atë që tregoni haptazi dhe atë që e fshihni”."
,17,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"Kur u thamë engjujve: “Përuluni para Ademit” – ata u përulën, por Iblisi nuk deshi, ai e rriti mendjen dhe u bë i pafé."
,17,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"Ne thamë “O Adem të jetosh ti dhe gruaja jote në xhennet dhe të hani në të sa të doni dhe kur të doni, por mos iu afroni këtij lisi sepse i bëni keq vetvetes."
,17,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,Shejtani për shkak të këtij lisi i shtyri të gabojnë e t’i nxjerrë nga vendi ku ishin. “Zbritni – u tham Ne – do të jeni armik i njëri tjetrit e në Tokë do të qëndroni dhe do të jetoni deri në afatin e caktuar”.
,17,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"Ademi dëgjoi disa fjalë (Urdhëra) e i zbatoi nga Zoti i vet, Ai ia pranoi pendimin dhe i fali gabimin. Ai shumë i pranon pendimet, Ai është i mëshirshëm."
,17,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,Ne u kemi thënë: “Zbritni të gjithë prej (xhennetit) tij. Juve me të vërtetë do t’ju vijë një dirigjues prej meje dhe ata që i përmbahen dirigjimit Tim nuk do të kenë frigë dhe nuk do të hidhërohen.
,17,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"Ata që nuk do të besojnë dhe i mohojnë argumentet tona do të jenë banorë të zjarrit, a në të do të mbesin gjithmonë."
,17,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,"O djemë të Israilit, kujtoni të mirat e Mia që u kam dhënë dhe përmbushni premtimin që më keni dhënë – Edhë Unë do ta përmbushi atë që u kam dhënë, e frikohuni vetëm prej Meje."
,17,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,"Besoni asaj që e kam shpallë Unë (Kur’anin), me të cilin vërtetohet ajo që keni ju (Teurati), e mos u bëni mohuesit e parë të tij. Dhe, mos i këmbeni argumentet e Mia me vlerë të vogël; ruhuni vetëm prej Meje!"
,17,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,"Mos e ngatërroni të vërtetën me të pavërtetën, duke e përzier njërën me tjetrën, dhe të vërtetën mos e fshehni me vetëdije."
,17,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,Falni namazin e jepni zeqatin dhe lutuni bashkë me ata që luten.
,17,2,51,44,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png,"Vallë, a po i urdhëroni ju njerëzit që të bëjnë të mira, e veten po e harroni, ju që e mësoni Librin? A nuk po mblidhni mend?"
,17,2,52,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_45.png,"Ndihmoni vetes me durim e me namaz, e kjo është njëmend vështirë pos për ata që i përulen Zotit, të cilët janë të bindur se do të dalin para Zotit dhe me të vërtetë do të kthehen tek Ai."
,17,2,53,46,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_46.png,"Ndihmoni vetes me durim e me namaz, e kjo është njëmend vështirë pos për ata që i përulen Zotit, të cilët janë të bindur se do të dalin para Zotit dhe me të vërtetë do të kthehen tek Ai."
,17,2,54,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_47.png,"O djemë të Israilit, kujtoni të mirat e Mia që ju kam pasë dhënë dhe që ju kam pasë madhëruar mbi njerëzit e tjerë (të asaj kohe)."
,17,2,55,48,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_48.png,"dhe frikohuni Ditës kur askush për askend nuk do të mund të bëjë asgjë dhe kur nuk do të pranohet vërejtja e askujt, kur prej askujt nuk do të mirret kompensim dhe kur askush nuk do t’ju dalë në ndihmë."
