Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_ur
,11,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,اللہ نے ان کے دلوں اور ان کے کانوں پر مہر لگا دی ہے اور ان کی آنکھوں پر پردہ پڑ گیا ہے وہ سخت سزا کے مستحق ہیں
,11,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,بعض لوگ ایسے بھی ہیں جو کہتے ہیں کہ ہم اللہ پر اور آخرت کے دن پر ایمان لائے ہیں، حالانکہ در حقیقت وہ مومن نہیں ہیں
,11,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,وہ اللہ اور ایمان لانے والوں کے ساتھ دھوکہ بازی کر رہے ہیں، مگر دراصل وہ خود اپنے آپ ہی کو دھوکے میں ڈال رہے ہیں اور انہیں اس کا شعور نہیں ہے
,11,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,ان کے دلوں میں ایک بیماری ہے جسے اللہ نے اور زیادہ بڑھا دیا، اور جو جھوٹ وہ بولتے ہیں، اس کی پاداش میں ان کے لیے درد ناک سزا ہے
,11,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,جب کبھی ان سے کہا گیا کہ زمین پر فساد برپا نہ کرو تو انہوں نے یہی کہا کہ ہم تو اصلاح کرنے والے ہیں
,11,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,خبردار! حقیقت میں یہی لوگ مفسد ہیں مگر انہیں شعور نہیں ہے
,11,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"اور جب ان سے کہا گیا جس طرح دوسرے لوگ ایمان لائے ہیں اسی طرح تم بھی ایمان لاؤ تو انہوں نے یہی جواب دیا ""کیا ہم بیوقوفوں کی طرح ایمان لائیں؟"" خبردار! حقیقت میں تو یہ خود بیوقوف ہیں، مگر یہ جانتے نہیں ہیں"
,11,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,جب یہ اہل ایمان سے ملتے ہیں، تو کہتے ہیں کہ ہم ایمان لائے ہیں اور جب علیحدگی میں اپنے شیطانوں سے ملتے ہیں، تو کہتے ہیں کہ اصل میں تو ہم تمہارے ساتھ ہیں اور ان لوگوں سے محض مذاق کر رہے ہیں
,11,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,اللہ ان سے مذاق کر رہا ہے، وہ ان کی رسی دراز کیے جاتا ہے، اور یہ اپنی سرکشی میں اندھوں کی طرح بھٹکتے چلے جاتے ہیں
,11,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,یہ وہ لوگ ہیں جنہوں نے ہدایت کے بدلے گمراہی خرید لی ہے، مگر یہ سودا ان کے لیے نفع بخش نہیں ہے اور یہ ہرگز صحیح راستے پر نہیں ہیں
,11,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,اِن کی مثال ایسی ہے جیسے ایک شخص نے آگ روشن کی اور جب اُس نے سارے ماحول کو روشن کر دیا تو اللہ نے اِن کا نور بصارت سلب کر لیا اور انہیں اس حال میں چھوڑ دیا کہ تاریکیوں میں انہیں کچھ نظر نہیں آتا
,11,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,یہ بہرے ہیں، گونگے ہیں، اندھے ہیں، یہ اب نہ پلٹیں گے
,11,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,یا پھر ان کی مثال یوں سمجھو کہ آسمان سے زور کی بارش ہو رہی ہے اور اس کے ساتھ اندھیری گھٹا اور کڑک چمک بھی ہے، یہ بجلی کے کڑاکے سن کر اپنی جانوں کے خوف سے کانوں میں انگلیاں ٹھو نسے لیتے ہیں اور اللہ اِن منکرین حق کو ہر طرف سے گھیرے میں لیے ہوئے ہے
,11,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,چمک سے ان کی حالت یہ ہو رہی ہے کہ گویا عنقریب بجلی اِن کی بصارت اُچک لے جائے گی جب ذرا کچھ روشنی انہیں محسوس ہوتی ہے تو اِس میں کچھ دور چل لیتے ہیں اور جب ان پر اندھیرا چھا جاتا ہے تو کھڑ ے ہو جاتے ہیں اللہ چاہتا تو ان کی سماعت اور بصارت بالکل ہی سَلب کر لیتا، یقیناً وہ ہر چیز پر قادر ہے
,11,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,لوگو! بندگی اختیار کرو اپنے اُس رب کی جو تمہارا اور تم سے پہلے جو لوگ ہو گزرے ہیں اُن سب کا خالق ہے، تمہارے بچنے کی توقع اِسی صورت ہوسکتی ہے
,11,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,وہی تو ہے جِس نے تمہارے لیے زمین کا فرش بچھایا، آسمان کی چھت بنائی، اوپر سے پانی برسایا اور اس کے ذریعے سے ہر طرح کی پیداوار نکال کر تمہارے لیے رزق بہم پہنچایا پس جب تم یہ جانتے ہو تو دوسروں کو اللہ کا مد مقابل نہ ٹھیراؤ
,11,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,اور اگر تمہیں اِس امر میں شک ہے کہ یہ کتا ب جو ہم نے اپنے بندے پر اتاری ہے، یہ ہماری ہے یا نہیں، تواس کے مانند ایک ہی سورت بنا لاؤ، اپنے سارے ہم نواؤں کو بلا لو، ایک اللہ کو چھوڑ کر باقی جس جس کی چاہو، مدد لے لو، اگر تم سچے ہو
,11,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,تو یہ کام کر کے دکھاؤ، لیکن اگر تم نے ایسا نہ کیا اور یقیناً کبھی نہیں کرسکتے، تو ڈرو اس آگ سے جس کا ایندھن بنیں گے انسان اور پتھر، جو مہیا کی گئی ہے منکرین حق کے لیے
,11,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,اور اے پیغمبرؐ، جو لوگ اس کتاب پر ایمان لے آئیں اور (اس کے مطابق) اپنے عمل درست کر لیں، انہیں خوش خبری دے دو کہ اُن کے لیے ایسے باغ ہیں، جن کے نیچے نہریں بہتی ہوں گی ان باغوں کے پھل صورت میں دنیا کے پھلوں سے ملتے جلتے ہونگے جب کوئی پھل انہیں کھانے کو دیا جائے گا، تو وہ کہیں گے کہ ایسے ہی پھل اس سے پہلے دنیا میں ہم کو دیے جاتے تھے ان کے لیے وہاں پاکیزہ بیویاں ہونگی، اور وہ وہاں ہمیشہ رہیں گے
,11,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,ہاں، اللہ اس سے ہرگز نہیں شرماتا کہ مچھر یا اس سے بھی حقیر تر کسی چیز کی تمثیلیں دے جو لوگ حق بات کو قبول کرنے والے ہیں، وہ انہی تمثیلوں کو دیکھ کر جان لیتے ہیں کہ یہ حق ہے جو ان کے رب ہی کی طرف سے آیا ہے، اور جو ماننے والے نہیں ہیں، وہ انہیں سن کر کہنے لگتے ہیں کہ ایسی تمثیلوں سے اللہ کو کیا سروکار؟ اس طرح اللہ ایک ہی بات سے بہتوں کو گمراہی میں مبتلا کر دیتا ہے اور بہتوں کو راہ راست دکھا دیتا ہے اور گمراہی میں وہ انہی کو مبتلا کرتا ہے، جو فاسق ہیں
,11,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,اللہ کے عہد کو مضبوط باندھ لینے کے بعد توڑ دیتے ہیں اللہ نے جسے جوڑنے کا حکم دیا ہے اُسے کاٹتے ہیں، اور زمین میں فساد برپا کرتے ہیں حقیقت میں یہی لوگ نقصان اٹھانے والے ہیں
,11,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,تم اللہ کے ساتھ کفر کا رویہ کیسے اختیار کرتے ہو حالانکہ تم بے جان تھے، اس نے تم کو زندگی عطا کی، پھر وہی تمھاری جان سلب کرے گا، پھر وہی تمہیں دوبارہ زندگی عطا کرے گا، پھر اسی کی طرف تمہیں پلٹ کر جانا ہے
,11,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,وہی تو ہے، جس نے تمہارے لیے زمین کی ساری چیزیں پید ا کیں، پھر اوپر کی طرف توجہ فرمائی اور سات آسمان استوار کیے اور وہ ہر چیز کا علم رکھنے والا ہے
,11,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"پھر ذرا اس وقت کا تصور کرو جب تمہارے رب نے فرشتوں سے کہا تھا کہ ""میں زمین میں ایک خلیفہ بنانے والا ہوں"" انہوں نے عرض کیا: ""کیا آپ زمین میں کسی ایسے کو مقر ر کرنے والے ہیں، جو اس کے انتظام کو بگاڑ دے گا اور خونریزیاں کرے گا آپ کی حمد و ثنا کے ساتھ تسبیح اور آپ کے لیے تقدیس تو ہم کر ہی رہے ہیں"" فرمایا: ""میں جانتا ہوں جو کچھ تم نہیں جانتے"""
,11,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"اس کے بعد اللہ نے آدمؑ کو ساری چیزوں کے نام سکھائے، پھر انہیں فرشتوں کے سامنے پیش کیا اور فرمایا ""اگر تمہارا خیال صحیح ہے (کہ کسی خلیفہ کے تقرر سے انتظام بگڑ جائے گا) تو ذرا ان چیزوں کے نام بتاؤ"""
,11,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"انہوں نے عرض کیا: ""نقص سے پاک تو آپ ہی کی ذات ہے، ہم تو بس اتنا ہی علم رکھتے ہیں، جتنا آپ نے ہم کو دے دیا ہے حقیقت میں سب کچھ جاننے اور سمجھنے والا آپ کے سوا کوئی نہیں"""
,11,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"پھر اللہ نے آدمؑ سے کہا: ""تم اِنہیں اِن چیزوں کے نام بتاؤ"" جب اس نے ان کو اُن سب کے نام بتا دیے، تو اللہ نے فرمایا: ""میں نے تم سے کہا نہ تھا کہ میں آسمانوں اور زمین کی وہ ساری حقیقتیں جانتا ہوں جو تم سے مخفی ہیں، جو کچھ تم ظاہر کرتے ہو، وہ بھی مجھے معلوم ہے اور جو کچھ تم چھپاتے ہو، اسے بھی میں جانتا ہوں"""
,11,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,پھر جب ہم نے فرشتوں کو حکم دیا کہ آدمؑ کے آگے جھک جاؤ، تو سب جھک گئے، مگر ابلیس نے انکار کیا وہ اپنی بڑائی کے گھمنڈ میں پڑ گیا اور نافرمانوں میں شامل ہو گیا
,11,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"پھر ہم نے آدمؑ سے کہا کہ ""تم اور تمہاری بیوی، دونوں جنت میں رہو اور یہاں بفراغت جو چاہو کھاؤ، مگر اس درخت کا رُخ نہ کرنا، ورنہ ظالموں میں شمار ہو گے"""
,11,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"آخر کار شیطان نے ان دونوں کو اس درخت کی ترغیب دے کر ہمارے حکم کی پیروی سے ہٹا دیا اور انہیں اُس حالت سے نکلوا کر چھوڑا، جس میں وہ تھے ہم نے حکم دیا کہ، ""اب تم سب یہاں سے اتر جاؤ، تم ایک دوسرے کے دشمن ہو اور تمہیں ایک خاص وقت تک زمین ٹھیرنا اور وہیں گزر بسر کرنا ہے"""
,11,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,اس وقت آدمؑ نے اپنے رب سے چند کلمات سیکھ کر توبہ کی، جس کو اس کے رب نے قبول کر لیا، کیونکہ وہ بڑا معاف کرنے والا اور رحم فرمانے والا ہے
,11,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,"ہم نے کہا کہ، ""تم سب یہاں سے اتر جاؤ پھر جو میری طرف سے کوئی ہدایت تمہارے پاس پہنچے، تو جو لوگ میر ی ہدایت کی پیروی کریں گے، ان کے لیے کسی خوف اور رنج کا موقع نہ ہوگا"
,11,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"اور جو اس کو قبول کرنے سے انکار کریں گے اور ہماری آیات کو جھٹلائیں گے، وہ آگ میں جانے والے لوگ ہیں، جہاں وہ ہمیشہ رہیں گے"""
,11,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,اے بنی اسرائیل! ذرا خیال کرو میری اس نعمت کا جو میں نے تم کو عطا کی تھی، میرے ساتھ تمھارا جو عہد تھا اُسے تم پورا کرو، تو میرا جو عہد تمہارے ساتھ تھا اُسے میں پورا کروں گا اور مجھ ہی سے تم ڈرو
,11,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,اور میں نے جو کتاب بھیجی ہے اس پر ایمان لاؤ یہ اُس کتاب کی تائید میں ہے جو تمہارے پاس پہلے سے موجود تھی، لہٰذا سب سے پہلے تم ہی اس کے منکر نہ بن جاؤ تھوڑی قیمت پر میری آیات کو نہ بیچ ڈالو او ر میرے غضب سے بچو
