Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_de
,25,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"Beinahe raubte ihnen der Blitzstrahl ihr Augenlicht. Immer wieder, wenn er ihnen aufleuchtete, gingen sie darin, und wenn er über ihnen finster wurde, erstarrten sie. Und wenn ALLAH es wollte, hätte ER ihnen ihr Gehör und ihr Augenlicht weggenommen. Gewiß, ALLAH ist über alles allmächtig."
,25,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"Ihr Menschen! Dient eurem HERRN, Der euch erschuf und diejenigen vor euch, damit ihr Taqwa gemäß handelt."
,25,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"(Dient Dem), Der euch die Erde als Unterlage und den Himmel als Überdachung machte und vom Himmel Wasser fallen ließ, dann damit Früchte hervorbrachte als Rizq für euch. So setzt ALLAH nichts als Ebenbürtige bei, während ihr wisst."
,25,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Und solltet ihr Zweifel haben über das, was WIR Unserem Diener nach und nach hinabsandten, dann bringt (nur) eine Sura seinesgleichen her und ruft eure Zeugen anstelle von ALLAH auf, solltet ihr wahrhaftig sein."
,25,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,"Und wenn ihr es nicht tut, und ihr werdet es gewiß niemals tun, so sucht Taqwa vor dem Feuer, dessen Brennstoff Menschen und Steine sind, das für die Kafir vorbereitet wurde."
,25,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"Und überbringe frohe Botschaft denjenigen, die den Iman verinnerlicht und das gottgefällig Gute getan haben, daß für sie Dschannat bestimmt sind, die von Flüssen durchflossen werden. Immer wieder, wenn ihnen daraus eine Frucht als Rizq gewährt wird, sagen sie: ""Das ist es, das uns vorher als Rizq gewährt wurde."" Und ihnen schien es ähnlich. Und für sie sind darin gereinigte Partnerwesen bestimmt, und sie sind darin ewig."
,25,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Gewiß, ALLAH findet nichts Beschämendes dabei, daß ER ein Gleichnis einer Mücke oder dessen, was größer ist, prägt. Also hinsichtlich derjenigen, die den Iman verinnerlicht haben, so wissen sie, daß dies sicher die Wahrheit von ihrem  HERRN ist. Und hinsichtlich derjenigen, die Kufr betrieben haben, so sagen sie: ""Was wollte ALLAH damit als Gleichnis?"" Damit läßt ALLAH viele abirren und viele rechtleiten. Doch ER läßt damit niemanden außer den Fasiq abirren."
,25,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"Es sind diejenigen, die das von ALLAH Auferlegte nach dessen verbindlichem Abschluß verletzen, das abbrechen, dessen Verbindung ALLAH gebot, und auf der Erde Verderben anrichten. Diese sind die eigentlichen Verlierer."
,25,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Wie betreibt ihr nur Kufr ALLAH gegenüber, während ihr tot wart, dann ER euch belebte?! Dann läßt ER euch sterben, dann belebt ER euch (wieder), dann werdet ihr zu Ihm zurückgebracht."
,25,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"ER ist Derjenige, Der für euch alles auf der Erde erschuf, dann wandte ER sich dem Himmel zu, sogleich machte ER sie sieben Himmel. Und ER ist über alles allwissend."
,25,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"Und (erinnere daran), als dein HERR zu den Engeln sagte: ""Gewiß, ICH setze auf der Erde einen Khalifa ein."" Sie sagten: ""Setzt DU etwa darauf ein, wer darauf Verderben anrichtet und Blut vergießt, während wir Dich mit Deinem Lob rühmen und uns für Dich rein halten?"" ER sagte: ""Gewiß, ICH weiß, was ihr nicht wißt."""
,25,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"Und ER lehrte Adam alle Namen, dann führte ER sie (die Dinge) den Engeln vor und sagte: ""TeiltMir deren Namen mit, solltet ihr wahrhaftig sein."""
,25,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"Sie sagten: ""Gepriesen-erhaben seist DU! Wir haben kein Wissen außer dem, das DU uns gelehrt hast. Gewiß, DU bist Der Allwissende, Der Allweise."""
,25,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"ER sagte: ""Adam! Teile ihnen deren Namen mit!"" Und nachdem er ihnen deren Namen mitgeteilt hatte, sagte ER: ""Sagte ICH euch etwa nicht, daß ICH das Verborgene der Himmel und der Erde kenne, und daß ICH das kenne, was ihr offenlegt und was ihr zu verheimlichen pflegtet?!"""
,25,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"Und (erinnere daran), als WIR zu den Engeln sagten: ""Vollzieht Sudschud vor Adam!"" Sogleich vollzogen sie Sudschud, außer Iblis lehnte es ab, erhob sich in erheblicher Arroganz und war von den Kafir."
,25,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"Und WIR sagten: ""Adam, bewohne mit deiner Gattin die Dschanna und esst darin reichlich, von wo ihr beide wollt, doch nähert euch nicht diesem Baum, sonst werdet ihr von den Verlierern sein."""
,25,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"So ließ der Satan sie diesbezüglich Fehler begehen, so brachte er sie hinaus von dem, wo sie sich befanden. Und WIR sagten: ""Steigt ab! Die einen von euch (Menschen) sind Feind für die anderen (Satane), und für euch gibt es auf Erden Aufenthaltsort und Verbrauchsgut bis zu einer bestimmten Zeit."""
,25,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"Dann empfing Adam Worte von seinem HERRN, so vergab ER ihm. Gewiß, ER ist Der Allvergebende, Der Allgnädige."
,25,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,"WIR sagten: ""Steigt davon allesamt ab! Und wenn euch von Mir Rechtleitung erreicht, so wird es um diejenigen, die Meiner Rechtleitung folgen, weder Angst geben, noch werden sie traurig sein."""
,25,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,"Und  diejenigen, die Kufr betrieben und Unsere Ayat ableugnet haben, diese sind die Weggenossen des Feuers. Darin bleiben sie ewig."
,25,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,"Kinder Israils! Entsinnt euch Meiner Gaben, die ICH euch gewährt habe, und erfüllt das von Mir Auferlegte, dann erfülle ICH das euch von Mir Versprochene, und habt Ehrfurcht Mir gegenüber!"
,25,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,"Und verinnerlicht den Iman an das, was ICH hinabsandte als Bestätigung dessen, worüber ihr verfügt, und seid nicht die ersten Kufr-Betreibenden ihm gegenüber. Und erkauft euch nicht mit Meinen Ayat einen minderwertigen Gegenwert, und handelt Taqwa gemäßMir gegenüber!"
,25,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,"Auch vermengt nicht das Wahre mit dem für nichtig Erklärten, und verbergt nicht dasWahre, während ihr wisst."
,25,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,"Und verrichtet ordnungsgemäß das rituelle Gebet, entrichtet die Zakat und vollzieht Ruku' mit den Ruku'-Vollziehenden!"
,25,2,51,44,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png,"Wollt ihr etwa den Menschen das gottgefällige Handeln gebieten und euch selbst (dabei) vergessen, während ihr die Schrift vortragt?! Begreift ihr nicht?!"
,25,2,52,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_45.png,"Also helft euch mit Geduld und dem rituellen Gebet! Und gewiß, dies ist sicherlich schwer außer für die Ehrfürchtigen,"
,25,2,53,46,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_46.png,"die sich sicher sind, daß sie ihrem HERRN begegnen und daß sie zu Ihm zurückkehren werden."
,25,2,54,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_47.png,"Kinder Israils! Entsinnt euch Meiner Gaben, die ICH euch gewährt habe, und daß ICH euch den Menschen gegenüber auszeichnete."
,25,2,55,48,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_48.png,"Und sucht Taqwa einem Tag gegenüber, an dem weder eine Seele einer (anderen) Seele etwas nützt, noch von ihr Fürbitte angenommen wird, noch von ihr Ausgleich genommen wird, noch wird ihnen beigestanden."
