Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_arj
,27,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,«يكاد» يقرب «البرق يخطف أبصارهم» بأخذها بسرعة «كلما أضاء لهم مشوا فيه» أي في ضوئه «وإذا أظلم عليهم قاموا» وقفوا، تمثيل لإزعاج ما في القرآن من الحجج قلوبهم وتصديقهم لما سمعوا فيه مما يحبون ووقوفهم عما يكرهون. «ولو شاء الله لذهب بسمعهم» بمعنى أسماعهم «وأبصارهم» الظاهرة كما ذهب بالباطنة «إن الله على كل شيء» شاءه «قدير» ومنه إذهاب ما ذكر.
,27,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,«يا أيُّها الناس» أي أهل مكة «اعبدوا» وحِّدوا «ربَّكم الذي خلقكم» أنشأكم ولم تكونوا شيئاً «و» خلق «الذين من قبلكم لعلكم تتقون» بعبادته عقابَه، ولعل: في الأصل للترجي، وفي كلامه تعالى للتحقيق.
,27,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,«الذي جعل» خلق «لكم الأرض فراشا» حال بساطا يفترش لا غاية في الصلابة أو الليونة فلا يمكن الاستقرار عليها «والسماء بناءً» سقفاً «وأنزل من السماء ماءً فأخرج به من» أنواع «الثمرات رزقاً لكم» تأكلونه وتعلفون دوابكم «فلا تجعلوا لله أنداداً» شركاء في العبادة «وأنتم تعلمون» أنه الخالق ولا تخلقون، ولا يكون إلهاً إلا من يخلق.
,27,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"«وإن كنتم في ريب» شك «مما نزلنا على عبدنا» محمد من القرآن أنه من عند الله «فأتوا بسورة من مثله» أي المنزل ومن للبيان أي هي مثله في البلاغة وحسن النظم والإخبار عن الغيب. والسورة قطعة لها أول وآخر أقلها ثلاث آيات «وادعوا شهداءكم"" آلهتكم التي تعبدونها» من دون الله» أي غيره لتعينكم «إن كنتم صادقين» في أن محمدا قاله من عند نفسه فافعلوا ذلك فإنكم عربيون فصحاء مثله ولما عجزوا عن ذلك قال تعالى:"
,27,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,«فإن لم تفعلوا» ما ذكر لعجزكم «ولن تفعلوا» ذلك أبداً لظهور إعجازه- اعتراض «فاتقوا» بالإيمان بالله وانه ليس من كلام البشر «النارَ التي وقودها الناس» الكفار «والحجارة» كأصنامهم منها، يعني أنها مفرطة الحرارة تتقد بما ذكر، لا كنار الدنيا تتقد بالحطب ونحوه «أعدَّت» هُيئت «للكافرين» يعذَّبون بها، جملة مستأنفة أو حال لازمة.
,27,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,«وَبَشِّر» أخبر «الذين آمنوا» صَّدقوا بالله «وعملوا الصالحات» من الفروض والنوافل «أن» أي بأن «لهم جناتِ» حدائق ذات أشجار ومساكن «تجري من تحتها» أي تحت أشجارها وقصورها «الأنهار» أي المياه فيها، والنهر الموضع الذي يجري فيه الماء لأن الماء ينهره أي يحفره وإسناد الجري إليه مجاز «كلما رزقوا منها» أطعموا من تلك الجنات. «من ثمرة رزقاً قالوا هذا الذي» أي مثل ما «رزقنا من قبل» أي قبله في الجنة لتشابه ثمارها بقرينة «وأُتوا به» أي جيئوا بالرزق «متشابهاً» يشبه بعضه بعضا لونا ويختلف طعما «ولهم فيها أزواج» من الحور وغيرها «مطهَّرة» من الحيض وكل قذر «وهم فيها خالدون» ماكثون أبداً لا يفنون ولا يخرجون. ونزل رداً لقول اليهود لما ضرب الله المثل بالذباب في قوله: (وإن يسلبهم الذباب شيئاً) والعنكبوت في قوله (كمثل العنكبوت) ما أراد الله بذكر هذه الأشياء؟ الخسيسة فأنزل الله.
,27,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,«إن الله لا يستحيي أن يضرب» يجعل «مثلا» مفعول أول «ما» نكرة موصوفة بما بعدها مفعول ثان أيَّ مثل كان أو زائدة لتأكيد الخسة فما بعدها المفعول الثاني «بعوضة» مفرد البعوض وهو صغار البق «فما فوقها» أي أكبر منها أي لا يترك بيانه لما فيه من الحكم «فأما الذين آمنوا فيعلمون أنه» أي المثل «الحق» الثابت الواقع موقعه «من ربِّهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلاً» تمييز أي بهذا المثل، وما استفهام إنكار مبتدأ، وذا بمعنى الذي بصلته خبره أي: أيّ فائدة فيه قال الله تعالى في جوابهم «يضل به» أي بهذا المثل «كثيراً» عن الحق لكفرهم به «ويهدي به كثيراً» من المؤمنين لتصديقهم به «وما يضل به إلا الفاسقين» الخارجين عن طاعته.
,27,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,«الذين» نعت «ينقضون عهد الله» ما عهده إليهم في الكتب من الإيمان بمحمد * «من بعد ميثاقه» توكيده عليهم «ويقطعون ما أمر الله به أن يوُصل» من الإيمان بالنبي والرحم وغير ذلك وأن بدل من ضمير به «ويفسدون في الأرض» بالمعاصي والتعويق عن الإيمان «أولئك» الموصوفون بما ذكر «هم الخاسرون» لمصيرهم إلى النار المؤبدة عليهم.
,27,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,«كيف تكفرون» يا أهل مكة «بالله و» قد «كنتم أمواتاً» نطفاً في الأصلاب «فأحياكم» في الأرحام والدنيا بنفخ الروح فيكم، والاستفهام للتعجيب من كفرهم مع قيام البرهان أو للتوبيْخ «ثم يميتكم» عند انتهاء آجالكم «ثم يحييكم» بالبعث «ثم إليه ترجعون» تردون بعد البعث فيجازيكم بأعمالكم. وقال دليلا على البعث لما أنكروه.
,27,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,«هو الذي خلق لكم ما في الأرض» أي الأرض وما فيها «جميعاً» لتنتفعوا به وتعتبروا «ثم استوى» بعد خلق الأرض أي قصد «إلى السماء فسواهن» الضمير يرجع إلى السماء لأنها في معنى الجمع الآيلة إليه: أي صيَّرها كما في آية أخرى (فقضاهن) «سبع سماوات وهو بكل شيء عليم» مجملا ومفصلا أفلا تعتبرون أن القادر على خلق ذلك ابتداءً وهو أعظم منكم قادر على إعادتكم.
,27,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,«و» اذكر يا محمد «إذ قال ربُّك للملائكة إني جاعل في الأرض خليفة» يخلفني في تنفيذ أحكامي فيها وهو آدم «قالوا أتجعل فيها من يفسد فيها» بالمعاصي «ويسفك الدماء» يريقها بالقتل كما فعل بنو الجان وكانوا فيها فلما أفسدوا أرسل الله عليهم الملائكة فطردوهم إلى الجزائر والجبال «ونحن نسبِّح» متلبسين «بحمدك» أي نقول سبحان الله وبحمده «ونقِّدس لك» ننزهك عمالا يليق بك فاللام زائدة والجملة حال أي فنحن أحق بالاستخلاف «قال» تعالى «إني أعلم ما لا تعلمون» من المصلحة في استخلاف آدم، وأن ذريته فيهم المطيع والعاصي فيظهر العدل بينهم فقالوا لن يخلق ربنا خلقاً أكرم عليه منا ولا أعلم لسبقنا له ورؤيتنا ما لم يره فخلق الله تعالى آدم من أديم الأرض أي وجهها، بأن قبض منها قبضة من جميع ألوانها وعجنت بالمياه المختلفة وسوَّاهُ ونفخ فيه الروح فصار حيواناً حسَّاساً بعد أن كان جماداً.
,27,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,«وعلَّم آدم الأسماء» أي أسماء المسميات «كلها» بأن ألقى في قلبه علمها «ثم عرضهم» أي المسميات وفيه تغليب العقلاء «على الملائكة فقال» لهم تبكيتاً «أنبئوني» أخبروني «بأسماء هؤلاء» المسميات «إن كنتم صادقين» في أني لا أخلق أعلم منكم أو أنكم أحق بالخلافة، وجواب الشرط دل عليه ما قبله.
,27,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,«قالوا سبحانك» تنزيهاً لك عن الاعتراض عليك «لا علم لنا إلا ما علمَّتنا» إياه «إنَّك أنت» تأكيد للكاف «العليم الحكيم» الذي لا يخرج شيء عن علمه وحكمته.
,27,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,«قال» تعالى «يا آدم أنبئهم» أي الملائكة «بأسمائهم» المسميات فسمى كل شيء باسمه وذكر حكمته التي خلق لها «فلما أنبأهم بأسمائهم قال» تعالى لهم موبخاً «ألم أقل لكم إنَّي أعلم غيب السماوات والأرض» ما غاب فيهما «وأعلم ما تبدون» ما تظهرون من قولكم أتجعل فيها الخ «وما كنتم تكتمون» تسرون من قولكم لن يخلق الله أكرم عليه منا ولا أعلم.
