Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_fa
,24,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,و آنان که به آنچه به سوی تو و به آنچه پیش از تو نازل شده، مؤمن هستند و به آخرت یقین دارند.
,24,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,آنانند که از سوی پروردگارشان بر [راهِ] هدایت اند و آنانند که رستگارند.
,24,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,بی تردید برای کسانی که [به خدا و آیاتش] کافرند مساوی است چه [از عذاب] بیمشان دهی یا بیمشان ندهی، ایمان نمی  آورند.
,24,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,خدا [به کیفر کفرشان] بر دل ها و گوش هایشان مُهرِ [تیره بختی] نهاده، و بر چشم هایشان پرده ای [از تاریکی است که فروغ هدایت را نمی  بینند] ، و برای آنان عذابی بزرگ است.
,24,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,و گروهی از مردم [که اهل نفاق اند] می  گویند: ما به خدا و روز قیامت ایمان آوردیم، در حالی که آنان مؤمن نیستند.
,24,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,[به گمان باطلشان] می  خواهند خدا و اهل ایمان را فریب دهند، در حالی که جز خودشان را فریب نمی  دهند، ولی [این حقیقت را] درک نمی  کنند.
,24,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,در دلِ آنان بیماریِ [سختی از نفاق] است، پس خدا به کیفرِ نفاقشان بر بیماریشان افزود، و برای آنان در برابر آنچه همواره دروغ می  گفتند، عذابی دردناک است.
,24,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,چون به آنان گویند: در زمین فساد نکنید، می  گویند: فقط ما اصلاح گریم!
,24,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,آگاه باشید! یقیناً خود آنان فسادگرند، ولی درک نمی  کنند.
,24,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,چون به آنان گویند: ایمان آورید چنان که دیگر مردم ایمان آوردند می  گویند: آیا ما هم مانند سبک مغزان ایمان آوریم؟! آگاه باشید! قطعاً اینان خود سبک مغزند، ولی [از شدت کوردلی به این حقیقت] آگاه نیستند.
,24,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,و هنگامی که با اهل ایمان دیدار کنند، گویند: ما ایمان آوردیم و چون با شیطان هایشان [که سرانِ شرک و کفرند] خلوت گزینند، گویند: بدون شک ما با شماییم، جز این نیست که ما [با تظاهر به ایمان] آنان را مسخره می  کنیم.
,24,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,خدا آنان را [به کیفر این کار منافقانه در دنیا و آخرت] عذاب خواهد کرد، و آنان را در سرکشی وتجاوزشان مهلت می  دهد [تا در گمراهی شان] سرگردان وحیران بمانند.
,24,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,آنان کسانی هستند که گمراهی را به جای هدایت خریدند، پس تجارتشان سود نکرد و از راه یافتگان [به سوی حق] نبودند.
,24,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,سرگذشت آنان مانند کسانی است که [در شب بسیار تاریک بیابان] آتشی افروختند [تا در پرتو آن خود را از خطر نجات دهند] ، چون آتش پیرامونشان را روشن ساخت، خدا [به وسیله توفانی سهمگین] نورشان را خاموش کرد و آنان را در تاریکی هایی که مطلقاً نمی  دیدند واگذاشت.
,24,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,کر و لال و کورند، به این سبب آنان [از گمراهی و ضلالت به سوی هدایت و حقیقت] بازنمی  گردند.
,24,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,یا [سرگذشت آنان] سرگذشتِ [دچار شدگان به] رگباری شدید از آسمان است که در آن تاریکی ها و رعد و برقی است، [آنان] انگشتانشان را از [صدایِ هولناکِ] صاعقه ها به خاطر بیم مرگ در گوش هایشان می  گذارند [در حالی که راه گریزی از مرگ برای آنان نیست] و خدا به کافرانْ احاطه [همه جانبه] دارد.
,24,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,نزدیک است که آن برقِ [بسیار رخشنده، روشنیِ] چشم های آنان را برباید؛ زمانی که آنان را روشنی دهد، در آن روشنی راه می  روند و چون محیط را بر آنان تاریک کند، می  ایستند و اگر خدا می  خواست [شنواییِ] گوش و [بیناییِ] چشم آنان را نابود می  کرد؛ زیرا خدا بر هر کاری تواناست.
,24,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,ای مردم! پروردگارتان را که شما و پیشینیان شما را آفریده است، بپرستید تا [با پرستیدن او] پروا پیشه شوید.
,24,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,آن پروردگاری که زمین را برای شما بستری گسترده و آسمان را سقفی برافراشته قرار داد و از آسمان، آبی [مانند برف و باران] نازل کرد و به وسیله آن از میوه های گوناگون، رزق و روزی برای شما بیرون آورد؛ پس برای خدا شریکان و همتایانی قرار ندهید در حالی که می  دانید [برای خدا در آفریدن و روزی دادن، شریک و همتایی وجود ندارد].
,24,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,و اگر در آنچه ما بر بنده خود] محمّد (صلی الله علیه وآله)] نازل کرده ایم، شک دارید [که وحی الهی است یا ساخته بشر] پس سوره ای مانند آن رابیاورید، و [برای این کار] غیر از خدا، شاهدان و گواهان خود را [از فُصحا و بُلغای بزرگ عرب به یاری] فرا خوانید، اگر [در گفتار خود که این قرآن ساخته بشر است نه وحی الهی [راستگویید.
,24,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,و اگر این کار را انجام ندادید ـ که هرگز نمی  توانید انجام دهید ـ بنابراین از آتشی که هیزمش مردم و سنگ هایند، بپرهیزید؛ آتشی که برای کافران آماده شده است.
,24,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,و کسانی را که ایمان آورده اند و کارهای شایسته [چون عبادت حق و خدمت به خلق] انجام داده اند، مژده ده که بهشت هایی ویژه آنان است که از زیرِ [درختانِ] آن نهرها جاری است؛ هرگاه از آن بهشت ها میوه ای آماده به آنان دهند، گویند: این همان است که از پیشْ روزیِ ما نمودند، و از میوه های گوناگون که [در طعم و گوارایی و زیبایی] شبیهِ هم است، نزد آنان آورند؛ در آنجا برای ایشان همسرانی پاکیزه [از هر آلودگی] است؛ و در آن بهشت ها جاودانه اند.
,24,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,بی تردید خدا [برای فهماندن مطلبی به مردم] از اینکه به پشه و فراتر از آن [در کوچکی] مَثَل بزند، شرم نمی  کند؛ اما اهل ایمان آگاهند که آن مثل از سوی پروردگارشان درست و حق است و اما کافران می  گویند: خدا از این مثل چه اراده کرده است؟! خدا بسیاری را به آن مثل [به خاطر عدم دقت و مطالعه] گمراه می  کند، و بسیاری را به آن مثل [به سبب درک صحیح] هدایت می  نماید؛ و جز فاسقان را به آن گمراه نمی  کند.
,24,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,آنان کسانی هستند که پیمان خدا را [که توحید و وحی و نبوت است] پس از استواری اش [با دلایل عقلی و علمی و براهین منطقی با عدم وفای به آن] می  شکنند و آنچه را خدا پیوند خوردن به آن را فرمان داده است [مانند پیوند با پیامبران و کتابهای آسمانی و اهل بیت طاهرین و خویشان] قطع می  نمایند و در زمین تباهی و فساد بر پا می  کنند، آنانند که زیانکارند.
,24,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,چگونه به خدا کفر می ورزید در حالی که [پیش از دمیده شدن روح به کالبدتان ترکیبی از عناصر] مرده بودید، پس شما را حیات بخشید، سپس شما را می  میراند، آن گاه دوباره زنده می  کند، سپس به سوی او بازگردانده می  شوید.
,24,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,اوست که همه آنچه را در زمین است برای شما آفرید، سپس آفرینش آسمان را [که به صورت ماده ای دود مانند بود] اراده کرد و آن را به شکل هفت آسمان [همراه با نظامی استوار] درست و نیکو قرار داد؛ و او [به قوانین و محاسباتِ] همه چیز داناست.
,24,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,و آن زمان را یاد آر که پروردگارت به فرشتگان گفت: به یقین جانشینی در زمین قرار می  دهم. گفتند: آیا موجودی را در زمین قرار می  دهی که در آن به فساد و تباهی برخیزد و به ناحق خون ریزی کند و حال آن که ما تو را همواره با ستایشت تسبیح می  گوییم و تقدیس می  کنیم. [پروردگار] فرمود: من [از این جانشین و قرار گرفتنش در زمین اسراری] می  دانم که شما نمی  دانید.
,24,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,و خدا همه نام ها [یِ موجودات] را به آدم آموخت؛ سپس [هویت و حقایق ذات موجودات را] به فرشتگان ارائه کرد و گفت: مرا از نام های ایشان خبر دهید، اگر [در ادعای سزاوار بودنتان به جانشینی] راستگویید.
,24,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,گفتند: تو از هر عیب و نقصی منزّهی، ما را دانشی جز آنچه خودت به ما آموخته ای نیست، یقیناً تویی که بسیار دانا و حکیمی.
,24,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,[خدا] فرمود: ای آدم! فرشتگان را از نام های آنان خبر ده. پس هنگامی که نام هایشان را به فرشتگان خبر داد [خدا] فرمود: آیا به شما نگفتم که من یقیناً نهانِ آسمان ها و زمین را می  دانم، و به آنچه شما آشکار می  کنید و به آنچه پنهان می  دارید، دانایم؟
,24,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,و [یاد کن] هنگامی که به فرشتگان گفتیم: به آدم سجده کنید، [پس] سجده کردند مگر ابلیس که سر پیچید و تکبّر ورزید و از کافران شد.
,24,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,و گفتیم: ای آدم! تو و همسرت در این بهشت سکونت گیرید و از هر جای آنکه خواستید فراوان و گوارا بخورید، و به این درخت نزدیک نشوید که [اگر نزدیک شوید] از ستمکاران خواهید شد.
,24,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,پس شیطان، هر دو را از [طریق] آن درخت لغزانید و آنان را از آنچه در آن بودند [چه مقام و مرتبه معنوی، و چه منزلت و جایگاه ظاهری] بیرون کرد. و ما گفتیم: [ای آدم و حوا و ای ابلیس!] در حالی که دشمن یکدیگرید [و تا ابد، بین شما آدمیان و ابلیسیان صلح و صفایی نخواهد بود، از این جایگاه] فرود آیید و برای شما در زمین، قرارگاهی [برای زندگی] و تا مدتی معین، وسیله بهرهوری اندکی خواهد بود.
,24,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,پس آدم کلماتی را] مانند کلمه استغفار و توسّل به اهل بیت (علیهم السلام) که مایه توبه و بازگشت بود] از سوی پروردگارش دریافت کرد و [پروردگار [توبه اش را پذیرفت؛ زیرا او بسیار توبه پذیر و مهربان است.
,24,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,گفتیم: همگی از آن [مرتبه و مقام] فرود آیید؛ چنانچه از سوی من هدایتی برای شما آمد، پس کسانی که از هدایتم پیروی کنند نه ترسی بر آنان است و نه اندوهگین شوند.
,24,2,46,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_39.png,و کسانی که کافر شدند و آیات ما را تکذیب کردند، اهل آتشند و در آن جاودانه اند.
,24,2,47,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_40.png,ای بنی اسرائیل! نعمت های مرا که به شما عطا کردم، یاد کنید و به پیمانم [که سفارش به عبادت و ایمان به همه انبیا به ویژه پیامبر اسلام است] وفا کنید تا من هم به پیمان شما [که توقع ثواب وپاداش در برابر عبادت وایمان است] وفا کنم، و [نسبت به پیمان شکنی] فقط از من بترسید.
,24,2,48,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_41.png,وبه آنچه [بر پیامبر اسلام] نازل کرده ام که تصدیق کننده [تورات وانجیلی] است که با شماست، ایمان آورید و نخستین کافر به آن نباشید [که نسل به نسل پس از شما به پیروی از شما به آن کافر شوند] و آیاتم را [در تورات که اوصاف محمّد و قرآن در آن است، با تغییر دادن و تحریف کردن] به بهایی ناچیز نفروشید، و فقط از من پروا کنید.
,24,2,49,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_42.png,و حق را با باطل مخلوط نکنید [تا تشخیص دادنشان بر مردمِ جویای حق دشوار نشود] ، وحق را [که قرآن وپیامبر است] در حالی که می  دانید [و می  شناسید، از مردم] پنهان نکنید.
,24,2,50,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_43.png,و نماز را بر پا دارید، و زکات بپردازید، و همراه رکوع کنندگان رکوع کنید [که نماز خواندن با جماعت محبوب خداست].
,24,2,51,44,۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_44.png,آیا مردم را به نیکی فرمان می  دهید و خود را [در ارتباط با نیکی] فراموش می  کنید؟ در حالی که کتاب [تورات را که با شدت به نیکی دعوتتان کرده] می  خوانید. آیا [به وضع زیان بار و خطرناک خود] نمی  اندیشید؟
